ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fold_enrichment,ci_lower,ci_upper
GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN,GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN,189,0.6338932098163333,2.695119574512065,1e-10,7.733333333333333e-9,4.579782790309106e-9,3086,"tags=48%, list=16%, signal=41%",PDK1/BCL2A1/NARF/RLF/PHC2/BNIP3L/HK2/ERO1A/KDM3A/OSM/SPP1/YEATS2/TCAF2/ENO1/MXI1/SQOR/CSRNP1/MAPK1IP1L/FAM162A/PPP1R15A/ZNF654/RELT/ZNF292/HPCAL1/MORF4L2/DUSP3/CARD19/MAP2K3/PER1/NUP58/HPS5/GRAMD1A/B4GALT5/NFKBIZ/KDM4C/GYS1/PKD2/KDM4B/RAB8B/MTFP1/SAP30/EDEM1/GPI/RAB21/ZBTB25/SLC31A1/TNFRSF1B/NINJ1/SLC3A2/TERF2IP/TPI1/WDR54/ICAM1/FCRLB/OXSR1/NOD2/ALKBH5/SLC43A3/FAM210A/NR4A1/P4HB/LONP1/DDIT3/ZNF395/KMT2E/VGLL4/G0S2/RELA/CEBPB/USP37/IL4I1/PDXK/PKM/WDR45B/AK2/PSMA6/TBC1D2/GPAT4/EIF4A3/RIMKLA/PHF21A/TNIP1/SH3D21/ZNF12/OXSM/FFAR3/RNF181/GUK1/UFSP2/IFNGR2/SERTAD2,2.695119574512065,NA,NA
GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP,GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP,193,0.6105553049222643,2.601317394892535,1e-10,7.733333333333333e-9,4.579782790309106e-9,2856,"tags=47%, list=15%, signal=41%",SLC2A3/RGS1/ZFP36/BCAT1/CTNNA1/CDKN1A/IL1B/LMNA/PHLDB1/BTG2/SLC16A7/PTPN2/CD69/IL1RAP/XBP1/PIM1/CCL3/PPP1R15A/JUNB/SEC24D/DUSP1/DDIT4/HMOX1/S100A9/ATF3/CD163/TIPARP/PDGFA/FLOT1/MAP2K3/BIN1/CXCL8/SLC16A3/ARID5A/BCL3/S100A8/LIMK2/TNF/ITM2A/TUBB4A/EMP1/PPIF/YWHAZ/RHOB/CCL4/ICAM1/ATP13A3/HSPA1A/CLIC1/RBM4/SERPINB8/TGFBI/UAP1/CKAP4/FABP5/DNAJB1/TSC22D3/HMGA1/CXCL1/PLTP/RPL10A/TRAF1/PRKRA/STIP1/MARCKSL1/G0S2/THBS1/PXDC1/ICE1/DUSP5/ICOSLG/GDI2/TXNRD1/CKS2/SLC7A5/HSP90AB1/TNFSF14/UPP1/ASGR2/PLOD3/IL3RA/EIF4A3/SH3BP5/PCYT1A/EEF1B2/STAB1/RPLP0/HNRNPL/AGO2/RPL35/SAFB,2.601317394892535,NA,NA
GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN,GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN,197,0.6091656484807464,2.5866533114620256,1e-10,7.733333333333333e-9,4.579782790309106e-9,3572,"tags=47%, list=19%, signal=39%",GLUL/NARF/ELL2/GADD45B/ERO1A/CD69/KDM3A/OSM/YEATS2/NFKBIA/MAPK1IP1L/ADIPOR2/ZNF654/RELT/ZNF292/HPCAL1/MORF4L2/FGFR1OP2/CRY1/HPS5/NR4A3/BCL3/HNRNPU/RAB8B/EIF2AK3/GPI/RAB21/CSNK1A1/AK4/TFG/SLC3A2/NFE2L2/TPI1/ICAM1/FCRLB/RRAGD/OXSR1/ALKBH5/CD63/SFXN3/ING1/SLC43A3/NR4A1/CEP95/SNHG12/INTS6L/ZMYM2/P4HB/CDK2/GLA/LONP1/NUP98/RABGEF1/ZNF395/SPAG4/SEC61G/PDXK/TMCO3/WDR45B/IRAK2/ZNF277/FAM50A/TMEM140/AK2/ARL5B/PSMA6/TBC1D2/EMD/EIF4A3/SH3BP5/NGLY1/JOSD1/MAPK6/GPR160/MTCH2/SLC36A4/VDAC1/SAFB/ZNF674-AS1/FFAR3/MALT1/PTGES3/IFNGR2/SCYL2/ETF1/PRDX4/FKBP15/TM9SF3/PPIL4/CLDND1/ZHX2/RBBP8/ATF2,2.5866533114620256,NA,NA
GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_17H_DN,GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_17H_DN,188,0.5967880494972081,2.542709347463161,1e-10,7.733333333333333e-9,4.579782790309106e-9,2714,"tags=43%, list=14%, signal=37%",TLR2/DENND3/NAMPT/SH3PXD2B/BCL2A1/STK3/TREM1/ACSL1/SLC25A37/BEST1/PLAUR/BATF/ADGRE2/MT1M/PFKFB3/BCL6/CD59/ITGB8/ADM/DDIT4/ANKRD22/FCAR/SERPINA1/HAS1/LDHA/GK/GCH1/NFKBIZ/MT1X/FSD1L/PLSCR1/LIMK2/AFDN/BTG3/TRIP10/TBC1D30/FCER1G/WNT5A/HLX/AK4/PLAC8/ELOVL7/FNDC3B/CCL4/PTGS2/ICAM1/ATP13A3/FERMT2/CLIC1/IER5/GLRX/ALOX5AP/SPACA6/SOD2/CASP5/FTH1/PVR/CKAP4/TOM1/CXCL1/TRAF1/G0S2/CDKN2D/CDC42EP2/PIK3AP1/PKM/RILPL2/FUT8/CCL20/BBIP1/MT2A/TUBB4B/INSIG2/GK5/NFKB2/ZNF207/CISH/TNIP1/PTX3/FPR2,2.542709347463161,NA,NA
GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN,GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN,183,0.5992894313280624,2.540400563331421,1e-10,7.733333333333333e-9,4.579782790309106e-9,3017,"tags=44%, list=16%, signal=38%",PDK1/PGK1/P4HA1/NARF/RLF/PHC2/TFRC/BNIP3L/HK2/ERO1A/KDM3A/FEM1C/OSM/IL1RAP/NFKBIA/HILPDA/ENO1/MAPK1IP1L/FAM162A/ADM/DDIT4/BNIP3/ZNF654/TGFBR1/ZNF292/LDHA/DUSP3/NUP58/GRAMD1A/GYS1/HDHD5/PKD2/KDM4B/MTFP1/SAP30/EDEM1/GPI/RANBP2/ZBTB25/CTDP1/TNFRSF1B/TMF1/FNDC3B/TPI1/ICAM1/NOD2/ALKBH5/SLC43A3/FAM210A/GBE1/ANKRD37/SEC24A/LONP1/RIOK3/SLC25A21-AS1/PLIN2/ZNF395/VGLL4/RELA/PDXK/THUMPD3/PKM/ICOSLG/SQSTM1/MUC6/PSMA6/GPAT4/RIMKLA/GRPEL1/NGLY1/IRF2BP2/TNIP1/LZTS2/BHLHE40/SH3D21/OXSM/VDAC1/FFAR3/GUK1/UFSP2/IFNGR2,2.540400563331421,NA,NA
GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,182,0.5962895857886156,2.5227132010528845,1e-10,7.733333333333333e-9,4.579782790309106e-9,2259,"tags=41%, list=12%, signal=37%",SOCS3/RGS1/BCL2A1/GBP2/ELL2/IL1B/TFRC/GADD45B/ACSL1/BTG2/HIVEP2/PLAUR/PFKFB3/MAFF/SCN1B/NFKBIA/RGCC/CSRNP1/ADM/PPP1R15A/DUSP1/DDIT4/TIFA/GADD45A/HAS1/GK/EGR1/NUP58/CXCL8/GCH1/GRAMD1A/FOSL1/NFKBIZ/NR4A3/ID2/PLK3/TNF/BTG3/PSMD5/CCDC59/TRIP10/GBP1/RAB21/PIM3/CCL4/NOCT/PTGS2/NFE2L2/ETS2/CSF3/EGR3/ICAM1/MAP3K8/SOD2/SERPINB8/CASP5/DENND4A/NR4A1/NAF1/NBN/TXN/AREG/CXCL1/GPR84/UBE2D1/G0S2/ADORA2A-AS1/DUSP5/PLEKHF2/JUN/NR4A2/CLCF1/HNRNPC/CCL20/ARL5B,2.5227132010528845,NA,NA
GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP,GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP,193,0.5883453787887563,2.5066903124241766,1e-10,7.733333333333333e-9,4.579782790309106e-9,4101,"tags=51%, list=21%, signal=41%",NAMPT/SLC2A3/SOCS3/RGS1/ZFP36/TREM1/GLUL/ARHGAP26/SGK1/IL1B/PFKFB3/NFKBIA/BCL6/MAPK1IP1L/SGTA/ADM/PPP1R15A/JUNB/DUSP1/DDIT4/NFIL3/FCAR/MGAM/GSN/TYMP/FPR1/PAK2/MCL1/HNRNPU/PLK3/DHCR7/GPI/MAFB/ELMO1/PPIF/YWHAZ/HMGB2/EGR3/SFN/DDX3X/SCO2/JUND/UAP1/CKAP4/AREG/HSPA9/COPG1/TSC22D3/IBTK/CXCR4/P4HB/IER2/EHD4/G0S2/FOSB/DUSP5/PDIA3/HNRNPH2/NR4A2/CHFR/UPP1/NFKB2/SLC30A9/HSPA5/PHF21A/MAPK6/ADNP2/PDIA4/BHLHE40/GNAI3/PTX3/FPR2/PSMD13/HNRNPK/SAFB/SPATA2L/HBEGF/PRCC/NADSYN1/SOCS1/PAF1/RAB8A/STX11/CIRBP/SAT1/GLUD1/SAFB2/TSPAN14/QSOX1/PIGA/RRP12/EIF4ENIF1/PPP4C/CTSD/NDUFV1/IL1R1/ATP6V0A1/ZBTB17/NOC2L,2.5066903124241766,NA,NA
GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN,GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN,190,0.5845150789662313,2.4842512107702537,1e-10,7.733333333333333e-9,4.579782790309106e-9,2374,"tags=38%, list=12%, signal=34%",TLR2/SOCS3/RGS1/ZFP36/FOS/VEGFA/SGK1/CD14/GADD45B/BTG2/CD69/FEM1C/OSM/IRF1/PIM1/MAFF/NFKBIA/BCL6/HILPDA/CSRNP1/KLF6/PPP1R15A/JUNB/DUSP1/CCNL1/ATF3/CCL2/TIPARP/EGR1/NFKBIZ/ID2/ARID5A/MCL1/PLSCR1/TNF/ARFGAP3/FANCL/ODC1/NFKBID/UBC/IFRD1/HMGB2/CCL4/PTGS2/HSPA1A/HSPA1B/IER5/MAP3K8/AOC3/CDH11/STK35/GPR84/IER2/RPS8/MYC/TRAF1/RAB20/MARCKSL1/ZFAND5/CEBPB/CDC42EP2/DUSP5/TNFSF9/JUN/CKS2/GDF15/SQSTM1/ATPAF1/SPATS2/ARL5B/C3orf38/GK5/POLB,2.4842512107702537,NA,NA
GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP,GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP,184,0.5791849038141772,2.4596427830540857,1e-10,7.733333333333333e-9,4.579782790309106e-9,4111,"tags=55%, list=21%, signal=44%",SLC2A3/RGS1/LINC01010/CDKN1A/SGK1/ELL2/LRRC8B/TFRC/GADD45B/PLAUR/SPP1/RGCC/CSRNP1/ADM/DUSP1/DDIT4/FNIP2/CHSY1/ATF3/PMAIP1/EGR1/DUSP3/THBD/SNX9/CXCL8/FOSL1/ANKRD28/LONRF3/TNF/RAB1A/PLEKHM1/CSF1/GPRC5A/PPARG/JMJD1C/SLC3A2/STX3/PTGS2/OSGIN1/ETS2/EGR3/RRAGD/EFR3A/FERMT2/SGMS1/NR4A1/TXN/HSPA9/RASD1/FAM131A/GLA/ZBTB21/RABGEF1/ESYT2/RAB20/CEBPB/SGMS2/DUSP5/KLF10/BAG3/AFF4/JUN/NR4A2/TXNRD1/CKS2/PTPRE/MELTF/TNFSF14/UPP1/TBC1D2/NSMAF/SH3BP5/SESN2/F3/MAPK6/CHAC1/GCLM/SLCO4A1/ZNF674-AS1/PLCXD1/ABL2/HBEGF/MAFK/ETF1/ELOC/ASPH/DYRK3/KLHL6/HOMER1/CLDND1/TCEAL9/TMEM38B/GNA13/PNP/IL1R1/PPFIA1/NAA50/INHBA/GPCPD1/KBTBD8/PLPP3,2.4596427830540857,NA,NA
GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN,GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN,191,0.567003475911237,2.4158754233985906,1e-10,7.733333333333333e-9,4.579782790309106e-9,5291,"tags=61%, list=28%, signal=45%",MIDN/RGCC/RPL9/LDHA/RPL18A/RPL37A/HNRNPU/RPS3/RPL30/RPL18/PTP4A2/TPT1/RPS16/ACTG1/RPS3A/RPL10/RPS6/YWHAZ/RPL17/UBE2D3/RPS9/RPL13A/ACTB/RPL13/SMARCD2/RPL7A/RPL19/PRDX1/EIF4A1/YBX1/TXN/FABP5/RPSA/TUBA1B/RACK1/RPS14/RPS15A/EIF3H/RPS4X/RPS19/RPS2/RPS23/RPL27A/RPL23A/RPL12/RPL14/RPS8/NUDT21/CYB5A/RPL5/RPS18/RPL3/RPL7/RPL11/RPL22/RPS11/RPL28/RPL37/RPL23/RPS5/RPL24/GDI2/RPS7/CKS2/CNP/B2M/HNRNPC/NUCKS1/ANXA2/PSMA6/NPM1/DCUN1D5/EEF1B2/ARF1/RPL26/RPLP0/RPS27/RPL35/ACTR3/C1QBP/RPLP2/NDUFB6/TUBB/EEF1G/RPL6/OAZ1/TPM3/HNRNPAB/RPL4/PPIA/RAP1B/DYNLT1/RPS25/ATP5PB/UBE2L3/ARPC2/RPS26/RPL22L1/PCNA/DAZAP2/NUTF2/CHTOP/SELENOW/ETS1/RPL27/SRSF3/EIF4B/PRKAR1A/PAM16/TKT/RPL34/HSP90AA1/RPL36/ATP5F1C/RPL38/SLC25A6/DNTT,2.4158754233985906,NA,NA
GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP,GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP,177,0.5690315988034166,2.4000575969906626,1e-10,7.733333333333333e-9,4.579782790309106e-9,2152,"tags=37%, list=11%, signal=33%",SOCS3/RGS1/BCL2A1/EFNA1/CDKN1A/GBP2/ELL2/IL1B/TFRC/GADD45B/ACSL1/BTG2/HIVEP2/PLAUR/FAM177A1/PFKFB3/XBP1/MAFF/NFKBIA/RGCC/CSRNP1/RIN2/ADM/PPP1R15A/DUSP1/DDIT4/TIFA/GADD45A/EGR1/NUP58/CXCL8/GCH1/FOSL1/NFKBIZ/ID2/PLK3/TNF/BTG3/PSMD5/GBP1/RAB21/PIM3/CCL4/NOCT/PTGS2/ETS2/CSF3/ICAM1/SGMS1/MAP3K8/SOD2/SERPINB8/DENND4A/NAF1/TXN/AREG/CXCL1/GPR84/UBE2D1/G0S2/ADORA2A-AS1/DUSP5/PLEKHF2/CLCF1/HNRNPC,2.4000575969906626,NA,NA
GSE10325_MYELOID_VS_LUPUS_MYELOID_DN,GSE10325_MYELOID_VS_LUPUS_MYELOID_DN,196,0.5593943896152447,2.3789607525729966,1e-10,7.733333333333333e-9,4.579782790309106e-9,2682,"tags=39%, list=14%, signal=34%",SLC2A3/KLF9/STAT3/ACSL1/ERO1A/SLC25A37/XBP1/NIBAN1/PIM1/PLIN3/MCUB/MAPK1IP1L/ADM/FAM168A/CCL2/IFI16/CEMIP2/GK/TAP1/CCL8/APOL6/PDPN/MT1X/RGL1/PLSCR1/HPRT1/LIMK2/LMNB1/GBP1/QKI/RAB8B/CUL1/FLVCR2/TOP1/SEC22B/IGF2R/SRP54/HLX/MAIP1/IL1RN/TFG/PAFAH1B1/LAP3/CBR1/STAT1/EDEM2/CTBS/SCO2/CD63/TXN/CASP7/TMSB10/NAIP/EHD4/PLIN2/CDS2/DHX8/SPATS2L/SEMA4D/PKM/CRYZL1/CDC73/DPM1/IRF7/NUCB1/MT2A/UPP1/PSMA6/PSMF1/ATP2A2/ATOX1/MAPK6/SHC1/JUP/LDLR/PEF1,2.3789607525729966,NA,NA
GSE369_PRE_VS_POST_IL6_INJECTION_SOCS3_KO_LIVER_UP,GSE369_PRE_VS_POST_IL6_INJECTION_SOCS3_KO_LIVER_UP,188,0.557090493103992,2.3735716648344325,1e-10,7.733333333333333e-9,4.579782790309106e-9,2148,"tags=35%, list=11%, signal=31%",SLC2A3/CD55/PGK1/BCL2A1/P4HA1/SLC2A5/CDKN1A/BNIP3L/HK2/FEM1C/ADAM19/SPP1/MAFF/MTHFD2/KLF6/FCGR1A/RPL9/SERPINA1/ADCY3/LDHA/GK/MORF4L2/ENO2/NUP58/ANKRD28/MCL1/S100A8/RAB1A/BACH1/EMP1/PPARG/IFRD1/ADGRE5/MKLN1/STRN3/ETS2/UBE2D3/HSPA1A/CD63/S100A10/TXN/CTNNAL1/TSC22D3/CHD1/RPS15A/RPS19/GLA/RPL23A/OSMR/RIOK3/CD44/DDIT3/PLIN2/RPL7/RPS11/KLF10/JUN/RPL23/PAFAH1B2/RPL24/RUFY3/CKS2/RRN3/B2M/PTPRE,2.3735716648344325,NA,NA
GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_DN,GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_DN,187,0.5537725563952159,2.3554121875691756,1e-10,7.733333333333333e-9,4.579782790309106e-9,2584,"tags=39%, list=13%, signal=34%",SRGN/SOCS3/STAT3/BCL2A1/CDKN1A/GLIPR2/IL1B/CD14/ACSL1/HK2/KDM3A/PLAUR/CEBPD/PIM1/IL4R/SLC11A2/JUNB/ADAM9/DUSP1/RHOQ/UGCG/HIF1A/RNF149/PDGFA/STK40/GCH1/NFKBIZ/PDPN/G3BP1/BCL3/ST3GAL4/TOP1/IFRD1/SLC31A1/CSNK1A1/SPATA13/MAP2K4/RHOB/IL1RN/PTGS2/ETS2/UBE2D3/ICAM1/ATP13A3/MAP3K8/ANGPTL4/TRA2B/IER2/RIOK3/ZNRF1/RAB12/MYC/STIP1/CTPS1/MARCKSL1/RAB10/CEBPB/MSR1/TNFSF9/GPR3/NEK6/TXNRD1/KPNA3/AGFG1/PSMA6/NFKB2/DCUN1D5/AASS/HSPA5/STAT5A/NOP58/GTPBP4/BHLHE40,2.3554121875691756,NA,NA
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_UP,GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_UP,195,0.550250874397269,2.3424165766973855,1e-10,7.733333333333333e-9,4.579782790309106e-9,3152,"tags=41%, list=16%, signal=35%",SLC2A3/KLF9/MVP/GLUL/ARHGAP26/GADD45B/CD69/IRF1/PLIN3/MAFF/NFKBIA/ATP1B3/MAPK1IP1L/JUNB/ADAM9/COPA/DDIT4/ATF3/HIF1A/YBX3/TYMP/PAK2/HNRNPU/QKI/GPI/ACTG1/ILKAP/SEC31A/YWHAZ/TERF2IP/LAP3/AKIRIN1/ANXA5/RRAGD/SFN/EPS15/DDX3X/MSN/IER5/SCO2/UAP1/CKAP4/HSPA9/TOM1/TSC22D3/PPP1CB/CXCR4/RIOK3/G0S2/MBD2/CTSB/DDX21/DUSP5/KLF10/PDIA3/JUN/HNRNPH2/NR4A2/AGPS/TAP2/CHFR/NFKB2/OLA1/CPNE3/SRRM1/PTEN/ADNP2/PDIA4/FAM53C/BHLHE40/ZNF551/GNAI3/PCBP2/CPSF6/VDAC1/SAFB/HNRNPD/PTGES3/NADSYN1/PPP2R5E,2.3424165766973855,NA,NA
GSE37416_CTRL_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_DN,GSE37416_CTRL_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_DN,184,0.5502472537436346,2.336752352578725,1e-10,7.733333333333333e-9,4.579782790309106e-9,4511,"tags=50%, list=23%, signal=39%",PDK1/PGK1/P4HA1/RLF/HK2/KDM3A/FEM1C/FAM177A1/TCAF2/FGF11/HILPDA/ENO1/CSRNP1/FAM162A/PPP1R15A/DDIT4/BNIP3/FCAR/ZNF654/ADORA1/ZNF292/LDHA/PER1/NUP58/PLK3/TNF/RAB1A/RAB8B/MTFP1/ENAM/SBNO2/PTGS2/NFE2L2/TPI1/ETS2/EGR3/ICAM1/OXSR1/ALKBH5/FAM210A/ANKRD37/SEC24A/ZBTB21/LONP1/TRAF1/PLIN2/VGLL4/G0S2/UBAP1/THUMPD3/PKM/MNX1/SLC7A5/ABCB9/ARL5B/HMX1/PSMA6/EFCAB3/NOVA2/GRPEL1/NGLY1/IRF2BP2/BHLHE40/ZNF12/OXSM/VDAC1/ACTR3/FFAR3/SCYL2/PAF1/IRGQ/SCARA3/ECD/VLDLR/PIGA/MAGT1/NABP1/MIF/ASCC1/IPPK/PPP2R2D/ZBTB1/RALGAPA1/CCDC47/CHMP2A/BZW1/FUT11/DNAJC22/IL1A/LGALS8/LINC00471/ZPR1,2.336752352578725,NA,NA
GSE23321_EFFECTOR_MEMORY_VS_NAIVE_CD8_TCELL_DN,GSE23321_EFFECTOR_MEMORY_VS_NAIVE_CD8_TCELL_DN,187,0.548335377516484,2.3322857302374422,1e-10,7.733333333333333e-9,4.579782790309106e-9,4966,"tags=48%, list=26%, signal=36%",FOS/LMNA/TFRC/BTG2/RGCC/NFIL3/HIF1A/PPP2R2A/RAB30-DT/ASPHD1/FOSL1/BATF3/BAZ1A/NUP188/CSF1/RAB8B/RAB21/PPIF/MAIP1/SLC3A2/ICAM1/TXLNA/RBM4/NDEL1/MAP3K8/UAP1/TRA2B/CSNK2A1/OTUD7B/TRAF1/PKM/RILPL2/CLCF1/RRN3/SLC7A5/SOCS4/RIF1/ARL5B/SLC19A2/DDX31/URB2/TMX2/PITRM1/LRPPRC/SDCBP/ZNF614/EMC8/TIMM44/MAFK/NFYA/C1orf52/ETF1/ZC3H15/SMOX/OTUD4/VMP1/UMPS/PSMD12/STX11/GPATCH4/CPD/HNRNPAB/EIF3B/NUDCD1/GEMIN5/LRRC59/IFT57/RRP12/LTV1/IDI2/MRPS30/AMD1/NDUFAF4/PDP2/KBTBD8/CAMTA1/ARHGEF2/PITRM1-AS1/TMEM33/TRMT44/CDKN3/RHOG/TIMM8A/DCAF13/EVI5/PIGT/MRPS35/TTF2/BUD23/THUMPD2,2.3322857302374422,NA,NA
GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN,GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN,188,0.5466758483461702,2.3291984328326656,1e-10,7.733333333333333e-9,4.579782790309106e-9,2395,"tags=39%, list=12%, signal=35%",TLR2/SRGN/NAMPT/RGS1/BCL2A1/FOS/GBP2/IL1B/GADD45B/BTG2/HK2/CD69/FEM1C/OSM/IRF1/PLAUR/MAFF/BCL6/HILPDA/CSRNP1/KLF6/DUSP1/CCNL1/NFIL3/BMP2/ATF3/TIPARP/ID2/ARID5A/MCL1/PLSCR1/FOSL2/HELZ2/JMJD1C/NFKBID/PIM3/IL1RN/CCL4/NOCT/SELE/ZBTB11/ICAM1/HSPA1A/HSPA1B/SGMS1/IER5/NDEL1/MAP3K8/SOD2/AEBP2/SPRED1/CXCL1/GPR84/IER2/RABGEF1/RAB12/ZNF800/MYC/TRAF1/RAB20/ITGAV/ZFAND5/CEBPB/CDC42EP2/DUSP5/TNFSF9/KIAA0586/GDF15/SQSTM1/RORB/TNFSF14/ARL5B/DIO2/SBDS,2.3291984328326656,NA,NA
GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_DN,GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_DN,198,0.543621575621424,2.318989389444367,1e-10,7.733333333333333e-9,4.579782790309106e-9,3166,"tags=42%, list=16%, signal=35%",TLR2/SLC2A3/RGS1/BCAT1/CDKN1A/ELL2/IL1B/LMNA/PHLDB1/BTG2/HIVEP2/RGS16/ADAM19/IRF1/BATF/CD47/XBP1/PIM1/FCGR2A/CCL3/KLF6/SGTA/PPP1R15A/HMOX1/GOSR2/CD163/PMAIP1/SECTM1/MAP2K3/VSIG4/CCL8/BIN1/TNF/TUBB4A/EMP1/TECR/PPIF/TNFRSF1B/YWHAZ/HLX/AK4/FYN/SLC3A2/CCL4/ICAM1/HSPA1A/FERMT2/CLIC1/RBM4/SERPINB8/TGFBI/UAP1/DENND4A/CCR1/HMGA1/PMP22/RPS24/CXCL1/PLTP/TRAF1/THBS1/DUSP5/NQO1/TIMP1/TXNRD1/TUBB4B/TNFSF14/UPP1/NFKB2/EIF4A3/SH3BP5/GCLM/C15orf39/STAB1/PTX3/APBB3/ABL2/KANK1/SERTAD2/HOMER3/ELOC/PAF1/CAPN2,2.318989389444367,NA,NA
GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_DN,GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_DN,190,0.5443295944613195,2.3134586305116285,1e-10,7.733333333333333e-9,4.579782790309106e-9,3479,"tags=45%, list=18%, signal=37%",PDK1/SOCS3/STAT3/SRPRB/PGK1/JAK3/NARF/IL1B/MAT2A/PFKFB3/PIM1/TCAF2/BCL6/ENO1/JUNB/ATP2B4/DTNBP1/HIF1A/FLOT1/LDHA/IL21R/NUP205/NFKBIZ/SLC7A1/G3BP1/ID2/ARID5A/UBASH3B/HPRT1/BAZ1A/RNF157/LMNB1/INTS10/SLC39A14/HSPD1/SBNO2/PDIA5/NOL10/PPP1R3B/TMEM65/FARSB/XRN2/CXCL1/CDK2/ZNRF1/MYC/CTPS1/NAA25/DDX21/IPO5/SLC7A5/TRAP1/HSP90AB1/WDR43/NAA15/PPRC1/SEH1L/URB2/EIF4G1/STAT5A/GTPBP4/CISH/PUM3/HNRNPR/NOLC1/POLD2/ALDH18A1/ANKRD17/UTP4/SFXN4/RAPGEF6/SP110/POLR1A/GTF3A/C1QBP/SOCS1/RFC2/RANBP1/GPATCH4/HNRNPAB/EIF3B/SREBF1/NOP2/NUDCD1/RPF2,2.3134586305116285,NA,NA
GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_DN,GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_DN,188,0.5427849933928173,2.31262083335183,1e-10,7.733333333333333e-9,4.579782790309106e-9,2564,"tags=39%, list=13%, signal=34%",NAMPT/SLC2A3/BCAT1/RUNX1/CDKN1A/IL1B/LMNA/HIVEP2/PFKFB3/SPP1/PIM1/MAFF/ATP1B3/FADS3/RHOQ/UGCG/CLEC5A/CCL2/TNIP2/CLN8/MT1X/RGL1/TRIP10/EMP1/KCNN4/PPIF/TNFRSF1B/WNT5A/AK4/NINJ1/IL1RN/PSMD11/SLC3A2/CCL4/PTGS2/ETS2/PPME1/ATP13A3/CD63/SOD2/FTH1/SLC43A3/TXN/CXCL1/GSTO1/TXNL1/RAB13/TSC22D1/TRAF1/AGPAT4/PLIN2/TUBB6/MAPK13/PXDC1/CTSB/LAPTM4B/PSMB5/SEC61G/NQO1/SPHK1/TXNRD1/SLC7A5/MT2A/TUBB4B/TNFSF14/UPP1/PSMA6/IL3RA/SH3BP5/ARL8B/TNFRSF4/ATOX1/MAPK6/TNIP1,2.31262083335183,NA,NA
