gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
CHRM5,-3.0984085427923698,5.660731571093786,6.506191322623007e-08,0.0017399507454090707,OUD_vs_Control_Male,True,True,True,True,True,Down
STMN4,-2.1698831605259534,5.955469190807278,1.9853426959935627e-06,0.026547009859477923,OUD_vs_Control_Male,True,True,True,True,True,Down
NPIPB2,-2.5824538859247714,3.002768165747119,3.797685343088316e-06,0.028334469098046648,OUD_vs_Control_Male,True,True,True,True,True,Down
HSPA1A,-2.052616870764314,5.530819851196842,5.6021281741110105e-06,0.028334469098046648,OUD_vs_Control_Male,True,True,True,True,True,Down
AC011586.2,3.696885068121326,3.9139032234332376,6.166109079009634e-06,0.028334469098046648,OUD_vs_Control_Male,True,True,True,True,True,Up
CALY,3.61363142238025,2.3343606003076,6.35705846719814e-06,0.028334469098046648,OUD_vs_Control_Male,True,True,True,True,True,Up
AP006219.2,-9.189184936683668,2.5541568042208924,7.701804777262707e-06,0.028830548766927366,OUD_vs_Control_Male,True,True,True,True,True,Down
GNA14-AS1,2.384758500303019,3.8674688606790397,9.77279651740413e-06,0.028830548766927366,OUD_vs_Control_Male,True,True,True,True,True,Up
LERFS,-1.6758832509834714,4.720497333599346,9.93872297396284e-06,0.028830548766927366,OUD_vs_Control_Male,True,True,True,True,True,Down
AP006219.3,-7.40509637471981,4.014839453982072,1.0780596330601415e-05,0.028830548766927366,OUD_vs_Control_Male,True,True,True,True,True,Down
ZDHHC20,-0.9372177428659465,8.154419261056486,1.3070726600402699e-05,0.031777312861324486,OUD_vs_Control_Male,False,True,True,False,True,Down
BCL2L14,1.1072316132489775,6.252873436669799,2.6976534451900105e-05,0.05480221682176177,OUD_vs_Control_Male,False,True,True,False,False,Up
ZDHHC11,-1.1127638614801443,5.0475066595240605,2.8528714464334217e-05,0.05480221682176177,OUD_vs_Control_Male,False,True,True,False,False,Down
AC011287.1,-1.6676220765052268,3.8450521504589963,2.868904145027352e-05,0.05480221682176177,OUD_vs_Control_Male,False,True,True,False,False,Down
AC008957.2,1.7769754589256002,4.811984374072082,3.122874656639366e-05,0.055676691295004375,OUD_vs_Control_Male,False,True,True,False,False,Up
AC092691.3,2.295757515312107,3.729874714917847,3.6933758653290776e-05,0.0617324692290597,OUD_vs_Control_Male,False,True,True,False,False,Up
TMPRSS5,1.8773657435493056,4.7120114511561875,4.219370061946255e-05,0.06280240754265742,OUD_vs_Control_Male,False,True,True,False,False,Up
MALRD1,1.4770011326233317,4.6080979608024695,4.512503631114551e-05,0.06280240754265742,OUD_vs_Control_Male,False,True,True,False,False,Up
