gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
CPED1,-3.099504874709894,5.581503063567124,2.307313365974384e-8,3.1596349233653e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
MGAT4C,-2.2466940627431766,6.2124597807425666,8.629639178280386e-8,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
GPM6A,-1.5266838021060336,8.287381322544219,1.2657358698902776e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC009432.2,-5.813151602153253,3.4302406398609224,1.4168157854779817e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SORL1,-1.9591726124110669,7.497419632184575,1.51710756079076e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
PLCXD3,-3.327904575641574,3.9022152039961906,1.6205478415038105e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
NKAIN3,-1.8918388039317564,7.26703500694114,1.749943217944816e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC01374,-2.7795373094000855,5.840002762452501,2.36420437541533e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC008691.1,-3.833790838237123,6.61650883735158,2.4180450465630065e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
HS3ST4,-1.815499952996456,5.916757866062138,2.602314674826635e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
MICOS10,-2.689471975762702,4.7187840136793655,3.174726453962469e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SLC1A2,-1.3978176134546332,8.329234693849203,3.419912374117537e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
NAV3,-1.2320247808534175,8.736742448267304,3.969214321118611e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
A2M,-1.8765913956445992,5.895281945263804,4.0848272747931674e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AL163541.1,-2.034102964916208,6.370586693439494,4.310373557749585e-7,4.7221004399858e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC097518.2,-2.839911919669449,4.197526610234471,4.547924577775903e-7,4.7436299412445e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CX3CR1,-4.269720076047774,5.758652882130398,4.738844835079088e-7,4.7436299412445e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
FRMD4A,-1.1944133806177797,9.02129770270681,5.172403200472424e-7,4.7436299412445e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC02642,-4.057477684323369,3.8137893930893823,5.196031044155669e-7,4.7436299412445e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC02712,-3.541248490095533,5.603692846363755,7.318543102880283e-7,6.206560089607e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
GABRB1,-1.7250598972996445,7.211490553229749,7.915394338992627e-7,6.2355724542486e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CACNB4,-1.4356198817398211,6.0372268077773334,8.569680714728017e-7,6.456679976922e-4,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
